Sign Asset ID,Asset Location ID,MUTCD Code,Sign Message,Asset Name,Asset Size,Asset Category,Asset Sub Category,Direction Facing,Sign Mount,Asset Condition,Asset Status,QC Status,QC Type,Asset Installation Date,Asset Removal Date,Data Collection Date,Created Date,Modified Date,Latitude,Longitude,Location
"728,631","700,064",D3-1,E 46TH ST,Street Name,,SIGN_GUIDE,Street Name,NE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 09 12:00:00 AM,2023 Oct 04 05:47:54 PM,2023 Oct 05 11:01:40 PM,30.30635372108912,-97.71873937220548,POINT (-97.718739372205 30.306353721089)
"645,690","602,456",D3-1,OHMFIELD CT,Street Name,,SIGN_GUIDE,Street Name,E,1.0,2.0,1.0,QC Complete,,,,2021 Nov 18 12:00:00 AM,2023 Oct 03 08:42:58 PM,2023 Oct 05 11:01:40 PM,30.18113144746537,-97.89138699945876,POINT (-97.891386999459 30.181131447465)
"672,525","604,832",D3-1,OAK MEADOW DR,Street Name,,SIGN_GUIDE,Street Name,SW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 30 12:00:00 AM,2023 Oct 04 02:09:31 PM,2024 Jan 03 03:37:54 PM,30.23253310422558,-97.87671145027042,POINT (-97.87671145027 30.232533104226)
"803,626","802,373",P1,,Sign Post,10 ft,SIGN_POLE,,,0.0,1.0,1.0,QC Complete,Install,2025 Jan 28 04:27:00 PM,,,2025 Jan 31 01:40:57 PM,2025 Feb 28 08:47:11 PM,30.172302088174185,-97.61392261503585,POINT (-97.613922615036 30.172302088174)
"63,300","37,453",D3-1,CREEK BEND DR,Street Name,,SIGN_GUIDE,Street Name,SE,1.0,2.0,1.0,QC Complete,,,,2021 Oct 29 12:00:00 AM,2022 Jun 30 02:03:59 PM,2023 Mar 28 06:16:23 PM,30.182360712313763,-97.7459595380508,POINT (-97.745959538051 30.182360712314)
"733,297","701,400",W16-9P,AHEAD,Sign Post,,SIGN_WARNING,Supplemental Plaque,SW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 20 12:00:00 AM,2023 Oct 04 05:47:54 PM,2023 Oct 05 11:01:40 PM,30.30566726617748,-97.76488062230833,POINT (-97.764880622308 30.305667266177)
"733,631","700,777",R2-5bP,NEIGHBORHOOD,Neighborhood,,Regulatory,Supplemental Plaque,NE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 20 12:00:00 AM,2023 Oct 04 05:47:54 PM,2024 Jul 03 02:52:19 PM,30.29636280990117,-97.76723489577364,POINT (-97.767234895774 30.296362809901)
"594,011","593,298",R2-5bP,NEIGHBORHOOD,Neighborhood,,Regulatory,Speed Limit,N,1.0,1.0,1.0,QC Complete,,2023 May 17 02:02:00 PM,,,2023 May 31 05:03:15 PM,2024 Jul 03 02:52:19 PM,30.304654030236247,-97.66485442834647,POINT (-97.664854428346 30.304654030236)
"743,503","705,131",D3-1,GASTON AVE,Street Name,,SIGN_GUIDE,Street Name,NE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 17 12:00:00 AM,2023 Oct 04 06:08:15 PM,2023 Oct 05 11:01:40 PM,30.29663353381546,-97.75556568946268,POINT (-97.755565689463 30.296633533815)
"677,130","612,053",D3-1,JONES RD,Street Name,,SIGN_GUIDE,Street Name,SW,1.0,2.0,1.0,QC Complete,,,,2021 Feb 12 12:00:00 AM,2023 Oct 04 02:09:31 PM,2024 Jan 03 03:37:54 PM,30.22651228108347,-97.80552349677625,POINT (-97.805523496776 30.226512281083)
"164,407","134,406",R7-2,NO PARKING BOTH ARROWS,Street Light Post,,Regulatory,Parking,NW,1.0,2.0,1.0,QC Complete,,,,2021 Oct 21 12:00:00 AM,2022 Sep 16 12:49:45 PM,2023 Mar 28 06:16:23 PM,30.33597034208352,-97.67235550418432,POINT (-97.672355504184 30.335970342084)
"167,973","136,183",D3-1,BANYON ST,Street Name,,Guide,Street Name,SW,1.0,2.0,1.0,QC Complete,,,,2021 Oct 22 12:00:00 AM,2022 Sep 16 12:49:45 PM,2023 Mar 28 06:16:23 PM,30.3423881542896,-97.71616584436124,POINT (-97.716165844361 30.34238815429)
"260,882","200,680",,,Sign Post,,SIGN_POLE,,NW,1.0,2.0,1.0,QC Complete,,,,2021 Oct 16 12:00:00 AM,2022 Oct 20 09:23:54 PM,2022 Nov 01 12:48:27 PM,30.37441371533351,-97.7093792312664,POINT (-97.709379231266 30.374413715334)
"652,990","605,748",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,,,,,2021 Nov 14 12:00:00 AM,2023 Oct 03 08:42:58 PM,2023 Oct 03 08:42:58 PM,30.178482990004078,-97.83458219135396,POINT (-97.834582191354 30.178482990004)
"687,779","610,820",D3-1,ROCK TERRACE DR,Street Name,,SIGN_GUIDE,Street Name,NE,1.0,3.0,1.0,QC Complete,,,,2021 Nov 21 12:00:00 AM,2023 Oct 04 02:28:08 PM,2024 Jan 03 03:37:54 PM,30.251826327856723,-97.78766554144526,POINT (-97.787665541445 30.251826327857)
"262,160","202,440",,,Sign Post,,SIGN_POLE,,NE,1.0,2.0,1.0,QC Complete,,,,2021 Oct 17 12:00:00 AM,2022 Oct 20 09:23:54 PM,2022 Nov 01 12:48:27 PM,30.35988868195017,-97.71106522566772,POINT (-97.711065225668 30.35988868195)
"62,637","37,091",R7-2,NO PARKING BOTH ARROWS TOW-AWAY ZONE,Sign Post,,SIGN_REGULATORY,Parking,SW,1.0,2.0,1.0,QC Complete,,,,2021 Oct 29 12:00:00 AM,2022 Jun 30 02:03:59 PM,2023 Mar 28 06:16:23 PM,30.306247547643576,-97.70743642379936,POINT (-97.707436423799 30.306247547644)
"744,610","705,479",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,,,,,2021 Nov 17 12:00:00 AM,2023 Oct 04 06:08:15 PM,2023 Oct 04 06:08:15 PM,30.3033475362938,-97.7542776493428,POINT (-97.754277649343 30.303347536294)
"715,359","696,513",D3-1,FORT BRANCH BLVD,Street Name,,SIGN_GUIDE,Street Name,E,1.0,2.0,1.0,QC Complete,,,,2021 Jul 11 12:00:00 AM,2023 Oct 04 05:30:35 PM,2023 Oct 05 11:01:40 PM,30.27975225197534,-97.68072950943768,POINT (-97.680729509438 30.279752251975)
"740,220","710,788",R8-3,NO PARKING LEFT ARROW,Sign Post,,SIGN_REGULATORY,Parking,SW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 17 12:00:00 AM,2023 Oct 04 05:47:54 PM,2023 Oct 05 11:01:40 PM,30.296146629709416,-97.74391749818734,POINT (-97.743917498187 30.296146629709)
"799,281","800,126",R2-5P,UNLESS OTHERWISE POSTED,Unless Otherwise Posted,24 x 18 in,SIGN_REGULATORY,,W,1.0,1.0,1.0,QC Complete,Install,2024 Nov 26 04:58:00 PM,,,2024 Dec 06 01:16:43 PM,2024 Dec 17 05:54:08 PM,30.1414027763508,-97.78016790520236,POINT (-97.780167905202 30.141402776351)
"72,707","36,660",D3-1,E 51ST ST,Street Name,,SIGN_GUIDE,Street Name,SW,1.0,2.0,1.0,QC Complete,,,,2021 Oct 29 12:00:00 AM,2022 Jun 30 02:03:59 PM,2023 Mar 28 06:16:23 PM,30.30464871095674,-97.70085452506342,POINT (-97.700854525063 30.304648710957)
"227,969","194,012",W16-9P,AHEAD,Street Light Post,,SIGN_WARNING,Supplemental Plaque,NE,1.0,2.0,1.0,QC Complete,,,,2021 Oct 13 12:00:00 AM,2022 Oct 20 09:06:25 PM,2023 Mar 28 03:51:51 PM,30.412376914769645,-97.68598596741832,POINT (-97.685985967418 30.41237691477)
